timestamp,generation_mw,area,generation_type,psr_type
2025-07-01 13:30:00+02:00,1803.0,DE,Hydro Water Reservoir,B11
2025-07-01 13:45:00+02:00,1806.0,DE,Hydro Water Reservoir,B11
2025-07-01 14:00:00+02:00,1811.0,DE,Hydro Water Reservoir,B11
2025-07-01 14:15:00+02:00,1804.0,DE,Hydro Water Reservoir,B11
2025-07-01 14:30:00+02:00,1795.0,DE,Hydro Water Reservoir,B11
2025-07-01 14:45:00+02:00,1794.0,DE,Hydro Water Reservoir,B11
2025-07-01 15:00:00+02:00,1786.0,DE,Hydro Water Reservoir,B11
2025-07-01 15:15:00+02:00,1770.0,DE,Hydro Water Reservoir,B11
2025-07-01 15:30:00+02:00,1773.0,DE,Hydro Water Reservoir,B11
2025-07-01 15:45:00+02:00,1761.0,DE,Hydro Water Reservoir,B11
2025-07-01 16:00:00+02:00,1752.0,DE,Hydro Water Reservoir,B11
2025-07-01 16:15:00+02:00,1752.0,DE,Hydro Water Reservoir,B11
2025-07-01 16:30:00+02:00,1782.0,DE,Hydro Water Reservoir,B11
2025-07-01 16:45:00+02:00,1779.0,DE,Hydro Water Reservoir,B11
2025-07-01 17:00:00+02:00,1806.0,DE,Hydro Water Reservoir,B11
2025-07-01 17:15:00+02:00,1807.0,DE,Hydro Water Reservoir,B11
2025-07-01 17:30:00+02:00,1811.0,DE,Hydro Water Reservoir,B11
2025-07-01 17:45:00+02:00,1806.0,DE,Hydro Water Reservoir,B11
2025-07-01 18:00:00+02:00,1802.0,DE,Hydro Water Reservoir,B11
2025-07-01 18:15:00+02:00,1802.0,DE,Hydro Water Reservoir,B11
2025-07-01 18:30:00+02:00,1792.0,DE,Hydro Water Reservoir,B11
2025-07-01 18:45:00+02:00,1786.0,DE,Hydro Water Reservoir,B11
2025-07-01 19:00:00+02:00,1783.0,DE,Hydro Water Reservoir,B11
2025-07-01 19:15:00+02:00,1775.0,DE,Hydro Water Reservoir,B11
2025-07-01 19:30:00+02:00,1766.0,DE,Hydro Water Reservoir,B11
2025-07-01 19:45:00+02:00,1767.0,DE,Hydro Water Reservoir,B11
2025-07-01 20:00:00+02:00,1785.0,DE,Hydro Water Reservoir,B11
2025-07-01 20:15:00+02:00,1777.0,DE,Hydro Water Reservoir,B11
2025-07-01 20:30:00+02:00,1779.0,DE,Hydro Water Reservoir,B11
2025-07-01 20:45:00+02:00,1771.0,DE,Hydro Water Reservoir,B11
2025-07-01 21:00:00+02:00,1757.0,DE,Hydro Water Reservoir,B11
2025-07-01 21:15:00+02:00,1759.0,DE,Hydro Water Reservoir,B11
2025-07-01 21:30:00+02:00,1753.0,DE,Hydro Water Reservoir,B11
2025-07-01 21:45:00+02:00,1752.0,DE,Hydro Water Reservoir,B11
2025-07-01 22:00:00+02:00,1751.0,DE,Hydro Water Reservoir,B11
2025-07-01 22:15:00+02:00,1744.0,DE,Hydro Water Reservoir,B11
2025-07-01 22:30:00+02:00,1747.0,DE,Hydro Water Reservoir,B11
2025-07-01 22:45:00+02:00,1736.0,DE,Hydro Water Reservoir,B11
2025-07-01 23:00:00+02:00,1730.0,DE,Hydro Water Reservoir,B11
2025-07-01 23:15:00+02:00,1716.0,DE,Hydro Water Reservoir,B11
2025-07-01 23:30:00+02:00,1719.0,DE,Hydro Water Reservoir,B11
2025-07-01 23:45:00+02:00,1718.0,DE,Hydro Water Reservoir,B11
2025-07-02 00:00:00+02:00,1712.0,DE,Hydro Water Reservoir,B11
2025-07-02 00:15:00+02:00,1713.0,DE,Hydro Water Reservoir,B11
2025-07-02 00:30:00+02:00,1710.0,DE,Hydro Water Reservoir,B11
2025-07-02 00:45:00+02:00,1715.0,DE,Hydro Water Reservoir,B11
2025-07-02 01:00:00+02:00,1709.0,DE,Hydro Water Reservoir,B11
2025-07-02 01:15:00+02:00,1692.0,DE,Hydro Water Reservoir,B11
2025-07-02 01:30:00+02:00,1688.0,DE,Hydro Water Reservoir,B11
2025-07-02 01:45:00+02:00,1688.0,DE,Hydro Water Reservoir,B11
2025-07-02 02:00:00+02:00,1698.0,DE,Hydro Water Reservoir,B11
2025-07-02 02:15:00+02:00,1705.0,DE,Hydro Water Reservoir,B11
2025-07-02 02:30:00+02:00,1703.0,DE,Hydro Water Reservoir,B11
2025-07-02 02:45:00+02:00,1703.0,DE,Hydro Water Reservoir,B11
2025-07-02 03:00:00+02:00,1711.0,DE,Hydro Water Reservoir,B11
2025-07-02 03:15:00+02:00,1706.0,DE,Hydro Water Reservoir,B11
2025-07-02 03:30:00+02:00,1704.0,DE,Hydro Water Reservoir,B11
2025-07-02 03:45:00+02:00,1701.0,DE,Hydro Water Reservoir,B11
2025-07-02 04:00:00+02:00,1696.0,DE,Hydro Water Reservoir,B11
